#{"t_start": 1738173668.0426607, "env_id": "CustomHopperWithObstacles-source-v0"}
r,l,t
84.352669,48,9.403558
83.949059,48,9.429304
82.117176,47,9.455559
82.419437,47,9.488015
83.869577,48,9.520351
82.388247,47,9.553045
82.548105,47,9.586096
82.221396,47,9.617499
81.984091,47,9.648538
82.42891,47,9.678778
82.184885,47,9.706465
82.787182,47,9.743826
81.766457,47,9.776608
82.330683,47,9.809561
82.255891,47,9.842163
81.950897,47,9.873918
84.176613,48,9.907395
81.569899,47,9.939928
84.408276,48,9.973602
82.179314,47,10.007529
82.127315,47,10.041392
82.282087,47,10.074646
82.066701,47,10.105689
82.68548,47,10.135931
84.064159,48,10.163877
81.72708,47,10.191194
80.036371,46,10.217937
81.864211,47,10.245299
81.945418,47,10.273875
91.412278,50,11.096015
40.429426,31,11.12254
11.082802,19,11.138715
23.506706,24,11.159069
11.017908,13,11.170133
151.304243,101,11.256242
205.499775,99,11.339904
92.892868,49,11.381305
17.752666,26,11.403517
45.343823,37,11.434928
16.866796,20,11.451789
66.632059,54,11.497523
11.648148,14,11.509336
118.253529,60,11.560007
98.082333,64,11.61341
42.589633,32,11.640058
14.51057,27,11.662355
9.467185,12,11.672194
24.815611,34,11.699805
8.637665,12,11.709438
123.842246,86,11.788851
75.240457,53,11.836998
68.873715,41,11.873414
10.352573,12,11.88454
64.551521,45,11.923805
10.536133,17,11.94012
64.7393,60,11.994009
8.917365,12,12.004198
23.850869,31,12.032373
103.957754,67,12.092571
6.950131,14,12.104369
101.519284,55,12.152369
58.542972,48,12.18868
8.999602,13,12.198496
21.150057,18,12.212091
38.518181,32,12.236242
26.601922,42,12.267977
51.832774,43,12.300301
10.622832,20,12.315398
7.055682,11,12.323767
4.92351,7,12.329093
117.182779,62,12.377713
93.774782,85,12.44361
113.14598,62,12.490618
90.859931,50,12.532429
73.401735,45,12.570369
36.190869,39,12.602955
63.343895,43,12.639097
8.079352,10,12.647574
11.271063,13,12.658442
102.901316,65,12.712823
40.379844,30,12.737825
94.718199,50,12.81299
94.855283,50,12.841811
94.937537,50,12.871048
92.324963,49,12.899506
94.670887,50,12.928343
92.137165,49,12.956577
92.425227,49,12.985678
88.867948,48,13.013489
95.182632,50,13.042309
89.078078,48,13.070172
92.588389,49,13.098677
92.464418,49,13.126844
89.853143,48,13.154381
89.643683,48,13.181875
89.105749,48,13.209562
86.727631,47,13.236526
89.104437,48,13.264068
86.616103,47,13.291064
87.122592,47,13.318064
87.140307,47,13.345983
86.532742,47,13.373086
86.475112,47,13.400234
83.857377,46,13.426808
84.02082,46,13.453365
89.800793,48,13.481045
86.802653,47,13.508132
84.416423,46,13.534585
84.221528,46,13.561043
84.114887,46,13.588303
86.789552,47,13.615236
83.77125,46,13.642189
84.42261,46,13.668981
84.416767,46,13.695697
84.167438,46,13.722455
87.335304,47,13.749602
84.048105,46,13.776261
81.684763,45,13.802319
81.381813,45,13.828421
84.760348,46,13.854997
84.134204,46,13.881519
84.556989,46,13.908034
84.750277,46,13.93453
