#{"t_start": 1736418931.455324, "env_id": "CustomHopper-target-v0"}
r,l,t
70.691608,42,8.196473
80.559818,47,8.231293
23.667294,21,8.246975
4.882423,11,8.255233
82.446708,53,8.294172
26.762418,25,8.312767
74.191996,48,8.347204
73.885642,47,8.380797
73.865784,44,8.41192
78.660829,46,8.44473
29.37429,33,8.468281
69.098899,41,8.497536
94.96813,68,8.546361
32.844639,40,8.574991
21.791509,24,8.592277
12.744651,16,8.603602
128.39056,70,9.430865
23.27152,22,9.446619
146.720589,82,9.504422
168.752512,88,9.566362
59.969962,36,9.592025
42.074341,36,9.617636
76.677015,50,9.653088
68.474144,41,9.682356
163.598315,78,9.737612
70.644938,43,9.768239
68.699563,43,9.798754
93.927254,63,9.843601
53.825765,69,9.892319
17.563997,18,9.904969
47.527564,28,9.924849
110.645617,96,9.992683
135.578414,71,10.043019
61.403562,46,10.07562
150.03477,87,10.137495
105.861043,65,10.184533
93.438971,60,10.229
8.228304,10,10.23645
126.630089,65,10.284384
77.270257,45,10.317737
50.713819,36,10.344072
65.604091,40,10.373632
70.590936,42,10.404735
94.727051,52,10.442909
139.205521,71,10.493049
72.714772,43,10.523716
141.102599,82,10.581871
60.807287,37,10.60821
97.919484,66,10.655074
66.006201,40,10.683415
66.570313,40,10.711794
215.264972,142,10.812351
222.955591,114,11.664893
174.235864,87,11.726385
158.118494,79,11.782226
211.334624,106,11.857106
173.98563,83,11.915586
91.613688,56,11.955161
78.495769,50,11.990748
142.065963,71,12.040885
109.345745,61,12.083919
58.319822,34,12.107872
73.699924,44,12.139059
85.957711,49,12.173432
41.913237,39,12.200782
81.864983,54,12.237902
140.978425,72,12.28634
234.057175,116,12.361615
267.214373,139,12.449707
72.099794,42,12.476151
225.496039,108,12.544049
76.377128,45,12.572341
85.62257,50,12.603695
171.833768,83,12.656227
67.06583,40,12.681494
212.308287,94,12.740484
105.621951,57,12.776141
147.170538,74,12.822669
212.332705,108,12.890504
96.324368,55,12.924936
149.377215,75,12.972152
60.974459,36,12.994954
85.945257,51,13.807134
83.16409,48,13.841611
145.117879,81,13.899095
117.537726,63,13.943779
75.144275,56,13.983876
181.15498,89,14.047463
238.942438,126,14.137212
172.290094,87,14.198869
52.049078,32,14.221611
207.722618,101,14.292942
161.235974,80,14.350036
103.121373,65,14.396294
131.236792,67,14.443666
94.96821,55,14.48263
112.603823,67,14.53077
79.556003,46,14.564481
92.276116,55,14.603782
73.078965,50,14.639495
233.72254,109,14.716488
183.265742,88,14.778833
82.287864,48,14.812676
66.94175,40,14.84088
204.01554,106,14.915818
116.39848,63,14.960133
232.658074,118,15.043811
102.167555,54,15.081877
112.214451,61,15.124853
229.112481,115,15.20623
101.66018,58,16.018474
160.821724,81,16.075728
72.663559,43,16.106239
104.916259,58,16.147401
148.992713,90,16.211211
66.00226,38,16.23797
236.644912,106,16.312921
228.410909,114,16.393374
232.379897,111,16.471595
112.472912,60,16.513679
154.060019,95,16.580856
86.74494,62,16.624972
61.056519,40,16.653469
74.003597,43,16.684221
79.36593,46,16.71681
197.929513,98,16.786445
90.845472,52,16.822528
190.454214,102,16.89181
128.252557,67,16.936354
144.827787,74,16.984674
247.406361,112,17.055378
209.880871,105,17.122534
179.834841,89,17.178594
231.954136,124,17.257007
59.994671,40,17.282146
225.280449,106,17.349019
225.463886,100,18.122083
219.954061,104,18.1904
231.029821,110,18.26142
227.231318,103,18.327474
62.132156,37,18.351068
240.363252,132,18.434454
59.031118,35,18.456734
65.217535,39,18.481302
106.567455,62,18.52042
134.135942,72,18.565671
234.275277,111,18.635087
110.462485,60,18.672664
73.966418,46,18.701715
64.128455,39,18.726339
65.301312,39,18.751004
192.041578,102,18.815609
142.834304,76,18.863146
209.952309,118,18.937632
165.381484,91,18.995494
212.598724,102,19.059597
218.456216,118,19.134159
177.422557,101,19.197819
231.90519,121,19.274101
129.202674,70,19.318159
161.474181,84,19.371024
195.376,98,20.207788
221.106714,111,20.286449
243.57091,127,20.377618
237.792139,113,20.455567
143.400407,74,20.505583
223.04566,113,20.579519
36.012702,27,20.596964
125.961484,72,20.642543
231.260775,117,20.716172
89.948821,58,20.752835
237.727801,122,20.829966
77.480831,46,20.858943
193.848905,96,20.919207
55.649584,43,20.946314
74.566588,44,20.974234
217.669643,104,21.039598
204.352583,93,21.098033
211.201216,112,21.168606
179.193549,98,21.23001
198.665801,106,21.296845
164.351532,90,21.353951
216.635546,125,21.432758
77.866344,45,21.461107
235.102545,118,22.217697
211.709829,102,22.282286
205.881839,95,22.34184
249.008505,127,22.42259
218.002589,108,22.490993
117.846138,65,22.53156
225.80569,110,22.601114
203.101526,94,22.660575
246.422583,130,22.742489
110.314675,63,22.782478
179.974998,94,22.842072
227.134267,116,22.915308
29.210091,22,22.929306
236.248826,111,22.999349
219.914433,114,23.071283
117.749776,68,23.113952
235.3996,108,23.181602
160.301102,84,23.234207
222.13073,109,23.303111
215.03612,101,23.367075
227.723803,120,23.442961
233.516851,111,24.210577
240.347436,124,24.288469
217.071899,98,24.349884
222.104327,97,24.410785
234.737607,111,24.480915
217.769441,107,24.548335
223.15871,105,24.61415
225.04332,110,24.683766
208.575298,96,24.743854
244.579877,111,24.813709
128.457415,70,24.857589
227.039439,108,24.925637
244.33283,126,25.005107
216.90205,112,25.076131
243.281411,112,25.146481
235.046119,109,25.214905
230.974193,107,25.282521
214.74123,102,25.346667
226.493549,115,25.418919
234.593383,111,26.195126
209.159831,97,26.256402
239.88338,113,26.327827
245.456116,109,26.396723
211.4172,110,26.465754
220.503728,102,26.530343
218.333378,110,26.599214
235.552992,115,26.671455
267.020871,114,26.743426
168.549737,87,26.798321
231.261489,111,26.868474
260.68335,139,26.956521
77.535343,45,26.984743
204.305766,102,27.048947
204.992881,94,27.108001
247.250453,125,27.186475
212.043426,103,27.251392
256.701168,135,27.336699
206.389804,98,27.398445
222.632934,109,27.466853
232.179284,105,28.241851
213.514442,97,28.303024
218.280924,104,28.368479
198.448059,95,28.428164
211.952541,101,28.491669
250.119997,109,28.560752
98.297841,55,28.595222
229.135173,112,28.665022
217.579268,109,28.733054
100.791852,58,28.769461
222.464715,108,28.837147
216.175729,110,28.905774
212.100167,110,28.974893
174.776349,90,29.031818
255.322563,133,29.115157
148.668109,77,29.164038
209.277225,99,29.226293
228.773346,109,29.294921
234.610865,119,29.369416
236.543822,106,29.436102
235.142792,111,30.215167
233.233614,106,30.283171
237.014939,128,30.363737
235.165287,118,30.437884
272.57863,114,30.509969
231.889875,116,30.583352
219.996432,107,30.650789
208.527033,108,30.718555
204.829779,99,30.78109
209.643728,100,30.843871
127.431974,74,30.890866
248.838225,116,30.964263
259.518469,111,31.034299
287.414989,130,31.115759
244.686326,108,31.183842
140.521993,76,31.232116
220.345681,108,31.300431
217.01072,103,31.365469
225.617429,109,31.434728
218.27446,110,32.213053
245.773613,116,32.28686
223.468112,110,32.356169
119.608821,76,32.403739
213.166401,110,32.472884
146.998993,89,32.52871
212.877807,109,32.597139
243.725777,116,32.670426
231.229582,107,32.737936
243.932207,119,32.813147
148.097528,82,32.864449
231.890395,109,32.933498
220.126929,107,33.001145
219.097383,103,33.065585
227.205016,109,33.134566
250.700009,110,33.20383
257.502604,122,33.280598
231.543898,108,33.351838
100.690044,61,33.392108
210.08621,99,33.457686
194.201819,100,34.252641
229.295887,112,34.323106
240.465923,117,34.396881
160.632904,80,34.447378
222.250455,108,34.515409
297.746466,129,34.596171
212.157066,107,34.663324
216.402952,102,34.727632
277.790078,126,34.806475
211.548624,100,34.869295
243.123604,113,34.940144
256.828727,119,35.015018
218.856142,101,35.078768
225.035501,103,35.143734
223.253298,102,35.208041
276.706688,122,35.284134
252.829869,113,35.355062
236.289466,111,35.424931
248.324059,108,35.492383
381.320604,161,36.286503
224.413206,103,36.351652
216.864047,109,36.420015
249.817576,118,36.494324
287.86609,125,36.572861
254.003885,110,36.642058
269.891603,118,36.715934
219.950576,111,36.785829
267.452635,120,36.8612
255.638844,120,36.936759
217.421442,99,36.998864
236.870717,107,37.06604
270.683348,114,37.137631
342.450721,153,37.233728
280.8003,116,37.306277
243.323702,108,37.374169
260.978546,138,37.460636
102.737959,62,38.192922
301.290714,126,38.271956
325.81302,138,38.359337
318.559139,140,38.447435
326.555958,142,38.536084
270.081387,131,38.618249
284.009022,119,38.692561
281.633952,118,38.766773
260.042721,124,38.844552
287.383786,124,38.92216
308.48957,131,39.004592
